index,images
35768573,"[['there are some cupboards in the kitchen, and an oven'], [""this is an image of someone's master bedroom""], ['three homes in a field in a country side neighborhood'], ['a living room with white walls and some windows'], ['a white bedroom with wood paneling, a bed and a rug'], ['a bedroom is decorated with wood floors and white walls']]"
36045049,"[['a sign that says la che de bonhqueur'], ['a large living room with a piano and lots of windows'], ['a living room with a couch, rug and a bed'], ['an unfurnished bathroom is shown with white cabinets']]"
35998999,"[['a very large house with many pools in the yard'], ['a view of a living room from outside with a large piano'], ['large open kitchen with stainless steel appliances and granite counters'], ['a room with hardwood floors and white couches'], ['large living room with vaulted roof and floor to ceiling glass walls'], ['the pool is empty in this backyard with lawn and chairs']]"
36042341,"[['an image of a home sitting room setting'], ['a balcony next to a white building with black railings'], ['view of back yard with deck, driveway and fence'], ['an image of some kind of building outside'], ['a narrow hallway with bed and small cabinet'], ['an image of hallway in a home']]"
36034105,"[['an empty room with several mirrors on the walls'], ['a living room with hard wood floors and a window'], ['empty room with wooden floors, glass doors and wood floor'], ['the bathroom is clean and ready to use'], ['two waste cans sitting next to a green bushes'], ['a house with wood flooring and an arch entrance']]"
35862307,"[['an open kitchen with wooden cabinets and stainless steel appliances'], ['an empty bathroom with a shower and shower'], ['a room with a wooden floor and doors'], ['a small residential building on a cobbled street'], ['there is a room that has a tile floor']]"
35738297,"[['a bedroom with wooden floors, an open window and a ceiling fan'], ['a dog looking up from its hindfeed paw'], ['a large kitchen and dining area with a glass ceiling'], ['a room has many windows and no light'], ['the dining area is completely empty from any person to see'], ['a nice room with a desk and tv on']]"
35805297,"[['a kitchen area with appliances, cabinets and a table'], ['a bedroom is furnished with white walls and light wood floors'], ['a staircase way with no railing in it'], ['a kitchen with a white table and chairs'], ['a large house in the country with a red sign'], ['a room with wooden cabinets and a large bed']]"
35997109,"[['an empty kitchen is painted yellow and has an orange bowl'], ['a bathroom with a sink, blue counter, a tub and some towels'], ['an apartment living area with a sofa, chair, table and television'], ['there is a light that hangs from the ceiling next to a staircase'], ['a poster advertising a sale of some kind of items'], ['an asphalt driveway with two bushes and a gate on the side']]"
35734739,"[['a bathroom is shown in this image'], ['a patio area with chairs and table in the background'], ['bedroom with a black and white bed and a red rug'], ['an empty parking lot next to several white houses'], ['the back yard is a lawn with a bench'], ['an image of a living room setting']]"
36003641,"[['a fire hydrant in a yard beside a building'], ['a person walking with a frisbee in hand']]"
36037549,"[['a man in glasses standing in a room near a red couch'], ['the large house has several lawn chairs on it'], ['living room with table, stove and couch'], ['a living room with a couch and chairs'], ['patio area with chairs and table and umbrellas'], ['this home is all set up in a lot']]"
36013375,"[['a brick building being constructed next to a dirt road'], ['a building with a green roof and white background']]"
